学号,1.1 等腰三角形_作业等级,1.1 等腰三角形_课堂任务单,1.1 等腰三角形_改错情况,1.2 直角三角形_作业等级,1.2 直角三角形_课堂任务单,1.2 直角三角形_改错情况,1.3 线段的垂直平分线_作业等级,1.3 线段的垂直平分线_课堂任务单,1.3 线段的垂直平分线_改错情况,1.4 角平分线_作业等级,1.4 角平分线_课堂任务单,1.4 角平分线_改错情况,第一章 三角形的证明_单元检测成绩(3月15日),2.1 不等关系_作业等级,2.1 不等关系_课堂任务单,2.1 不等关系_改错情况,2.2 不等式的基本性质_作业等级,2.2 不等式的基本性质_课堂任务单,2.2 不等式的基本性质_改错情况,2.3 不等式的解集_作业等级,2.3 不等式的解集_课堂任务单,2.3 不等式的解集_改错情况,2.4 一元一次不等式_作业等级,2.4 一元一次不等式_课堂任务单,2.4 一元一次不等式_改错情况,2.5 一元一次不等式与一次函数_作业等级,2.5 一元一次不等式与一次函数_课堂任务单,2.5 一元一次不等式与一次函数_改错情况,2.6 一元一次不等式组_作业等级,2.6 一元一次不等式组_课堂任务单,2.6 一元一次不等式组_改错情况,第二章 一元一次不等式与一元一次不等式组_单元检测成绩(4月10日),3.1 图形的平移_作业等级,3.1 图形的平移_课堂任务单,3.1 图形的平移_改错情况,3.2 图形的旋转_作业等级,3.2 图形的旋转_课堂任务单,3.2 图形的旋转_改错情况,3.3 中心对称_作业等级,3.3 中心对称_课堂任务单,3.3 中心对称_改错情况,第三章 图形的平移与旋转_单元检测成绩(4月20日),4.1 因式分解_作业等级,4.1 因式分解_课堂任务单,4.1 因式分解_改错情况,4.2 提公因式法_作业等级,4.2 提公因式法_课堂任务单,4.2 提公因式法_改错情况,4.3 公式法_作业等级,4.3 公式法_课堂任务单,4.3 公式法_改错情况,第四章 因式分解_单元检测成绩(5月10日),5.1 认识分式_作业等级,5.1 认识分式_课堂任务单,5.1 认识分式_改错情况,5.2 分式的乘除法_作业等级,5.2 分式的乘除法_课堂任务单,5.2 分式的乘除法_改错情况,5.3 分式的加减法_作业等级,5.3 分式的加减法_课堂任务单,5.3 分式的加减法_改错情况,5.4 分式方程_作业等级,5.4 分式方程_课堂任务单,5.4 分式方程_改错情况,第五章 分式与分式方程_单元检测成绩(6月5日),6.1 平行四边形的性质_作业等级,6.1 平行四边形的性质_课堂任务单,6.1 平行四边形的性质_改错情况,6.2 平行四边形的判定_作业等级,6.2 平行四边形的判定_课堂任务单,6.2 平行四边形的判定_改错情况,6.3 三角形的中位线_作业等级,6.3 三角形的中位线_课堂任务单,6.3 三角形的中位线_改错情况,6.4 多边形的内角和与外角和_作业等级,6.4 多边形的内角和与外角和_课堂任务单,6.4 多边形的内角和与外角和_改错情况,第六章 平行四边形_单元检测成绩(6月20日)
11,A,合格,合格,C,未交,合格,C,不合格,合格,未交,不合格,合格,86,B-,不合格,合格,未交,合格,未改错,C,不合格,未改错,B-,合格,未改错,B-,未交,合格,C,合格,未改错,68,未交,不合格,合格,未交,合格,合格,未交,合格,未改错,77,B-,未交,未改错,C,未交,未改错,A,未交,未改错,64,C,不合格,合格,C,未交,合格,C,未交,未改错,B-,不合格,未改错,93,未交,未交,未改错,C,未交,未改错,C,合格,合格,B-,合格,未改错,89
12,B-,良好,合格,B,合格,合格,,,,B+,良好,良好,102,B+,合格,良好,A-,良好,良好,A-,合格,良好,B-,良好,良好,A-,合格,合格,B,良好,合格,125,A-,合格,良好,B-,良好,良好,A-,合格,良好,123,B+,良好,良好,B+,合格,合格,B,合格,良好,123,A-,良好,良好,B-,合格,合格,A-,合格,良好,A-,良好,合格,129,B-,良好,合格,,,,B-,合格,合格,B+,合格,良好,120
13,未交,未交,未改错,C,未交,合格,B-,未交,未改错,未交,不合格,合格,83,C,不合格,未改错,C,不合格,合格,B-,不合格,合格,B-,合格,未改错,C,不合格,未改错,B-,合格,合格,90,未交,不合格,未改错,A,未交,合格,B-,未交,未改错,66,未交,不合格,合格,C,合格,未改错,C,合格,合格,78,A,未交,合格,未交,不合格,合格,A,合格,未改错,未交,合格,合格,85,C,未交,未改错,C,合格,未改错,C,未交,未改错,C,合格,合格,68
14,A-,良好,良好,A+,良好,良好,A,良好,良好,A,良好,优秀,144,A,良好,良好,A,良好,优秀,A,优秀,良好,A,优秀,良好,A,优秀,优秀,A+,优秀,优秀,141,C,优秀,优秀,A-,优秀,良好,A+,优秀,优秀,141,A-,良好,良好,A-,良好,良好,A,优秀,优秀,144,A+,优秀,良好,A-,优秀,良好,C,良好,良好,A,良好,良好,130,A+,良好,良好,A-,良好,良好,A+,良好,良好,A+,优秀,良好,136
15,未交,合格,未改错,C,合格,未改错,B-,合格,未改错,未交,未交,合格,69,C,不合格,合格,A,合格,未改错,B-,合格,未改错,C,合格,未改错,未交,不合格,未改错,未交,未交,合格,89,B-,合格,合格,A,合格,未改错,B-,合格,未改错,76,C,不合格,合格,C,不合格,合格,C,合格,未改错,70,C,未交,合格,C,合格,未改错,B-,合格,未改错,未交,未交,合格,84,未交,合格,未改错,未交,不合格,未改错,未交,合格,合格,C,不合格,合格,72
16,A,优秀,优秀,A-,优秀,良好,A-,优秀,良好,A,良好,良好,148,A-,良好,优秀,A-,良好,良好,A-,良好,优秀,A-,优秀,良好,A+,优秀,优秀,A-,优秀,良好,147,A+,优秀,良好,A+,优秀,优秀,A+,优秀,良好,137,C,优秀,良好,A,优秀,良好,A+,优秀,优秀,139,A-,良好,良好,C,优秀,良好,A+,良好,优秀,A,良好,优秀,135,A-,良好,良好,C,良好,优秀,A+,良好,优秀,C,良好,优秀,144
17,B-,不合格,合格,B-,不合格,未改错,未交,未交,未改错,B-,合格,未改错,79,C,合格,合格,B-,不合格,合格,B-,合格,合格,B-,未交,未改错,未交,合格,合格,B-,合格,合格,78,B-,未交,未改错,未交,合格,未改错,B-,未交,合格,84,C,不合格,合格,C,合格,未改错,未交,不合格,未改错,91,未交,合格,合格,未交,未交,合格,B-,合格,合格,A,未交,未改错,73,C,合格,未改错,B-,未交,合格,B-,不合格,未改错,未交,合格,合格,90
18,B-,合格,合格,B+,合格,合格,B-,合格,良好,A-,良好,良好,104,B-,良好,良好,B+,良好,合格,B-,良好,合格,A-,良好,合格,B+,合格,合格,A-,良好,合格,103,B-,合格,良好,B+,良好,良好,B-,良好,合格,102,B,合格,合格,B-,良好,良好,B-,良好,良好,120,B-,良好,良好,A-,良好,合格,B+,合格,良好,B+,良好,良好,102,B-,合格,良好,B+,良好,良好,A-,良好,良好,B-,良好,良好,120
19,B-,不合格,未改错,B-,合格,未改错,B-,不合格,未改错,C,合格,合格,87,未交,未交,合格,A,未交,合格,未交,未交,合格,B-,不合格,未改错,B-,不合格,未改错,未交,未交,未改错,89,B-,合格,合格,未交,不合格,未改错,C,不合格,合格,85,C,合格,合格,未交,不合格,合格,A,合格,合格,74,C,合格,未改错,未交,合格,未改错,A,未交,合格,未交,未交,未改错,66,B-,合格,合格,C,未交,未改错,B-,合格,合格,未交,不合格,合格,68
20,A-,良好,优秀,A+,优秀,良好,A,良好,良好,A+,良好,优秀,132,A-,良好,良好,A+,优秀,良好,A+,优秀,良好,A,良好,良好,A+,良好,优秀,A+,优秀,良好,134,A+,良好,优秀,A+,优秀,优秀,A+,良好,优秀,145,C,优秀,优秀,A-,优秀,良好,A-,良好,优秀,136,A-,良好,良好,A+,优秀,优秀,A+,优秀,良好,A,良好,良好,140,A+,优秀,良好,A+,良好,良好,A+,优秀,优秀,A+,良好,良好,149
21,A-,合格,良好,,,,B,合格,良好,A-,合格,良好,104,B+,合格,合格,B-,合格,良好,A-,合格,良好,B,良好,合格,B+,合格,合格,B,良好,合格,129,B+,良好,良好,B+,合格,良好,B,合格,合格,126,A-,合格,良好,B-,良好,合格,B-,良好,良好,111,B,良好,合格,B+,良好,合格,B+,合格,合格,B+,良好,良好,108,B-,良好,良好,B-,合格,合格,B+,良好,良好,B,合格,合格,127
22,B-,良好,良好,B+,合格,良好,A-,良好,合格,B-,良好,良好,128,B-,良好,良好,B-,合格,合格,B-,良好,良好,B-,良好,良好,B-,良好,合格,B,良好,良好,123,B-,良好,合格,A-,合格,良好,B-,良好,良好,106,B+,合格,合格,B+,合格,合格,B+,良好,合格,103,B,合格,合格,B,合格,良好,A-,良好,良好,B,良好,合格,114,B+,良好,良好,B+,良好,良好,,,,B-,良好,良好,124
23,A,不合格,合格,B-,未交,未改错,B-,合格,未改错,未交,不合格,合格,60,未交,未交,合格,C,合格,合格,C,未交,合格,未交,未交,合格,,,,C,未交,合格,67,B-,未交,未改错,C,未交,合格,B-,合格,未改错,75,未交,合格,未改错,B-,未交,未改错,C,未交,未改错,84,未交,合格,未改错,未交,未交,未改错,未交,合格,未改错,C,未交,合格,82,未交,未交,未改错,C,合格,未改错,C,不合格,合格,B-,合格,未改错,87
24,A-,优秀,良好,A-,优秀,良好,A+,良好,良好,,,,136,A,优秀,良好,A+,优秀,良好,A,良好,良好,A-,优秀,优秀,A-,优秀,优秀,A+,优秀,优秀,147,A-,良好,良好,C,优秀,优秀,A-,优秀,良好,149,A,良好,优秀,A+,良好,良好,A,优秀,优秀,147,A,良好,优秀,A,良好,优秀,C,优秀,优秀,A-,良好,良好,131,A-,优秀,优秀,A-,优秀,优秀,A+,良好,优秀,A+,良好,良好,144
25,C,合格,未改错,A,不合格,未改错,C,未交,合格,B-,未交,未改错,80,C,未交,未改错,未交,不合格,合格,C,未交,未改错,未交,合格,未改错,未交,合格,合格,B-,合格,未改错,89,未交,合格,合格,未交,未交,未改错,未交,合格,合格,79,C,合格,未改错,C,未交,未改错,C,合格,未改错,76,C,不合格,合格,未交,未交,合格,B-,未交,未改错,未交,合格,未改错,63,未交,未交,合格,未交,未交,合格,未交,不合格,未改错,C,合格,合格,84
26,B-,合格,合格,C,未交,合格,未交,未交,未改错,B-,未交,合格,93,C,未交,合格,A,合格,合格,C,合格,未改错,B-,未交,未改错,未交,未交,合格,未交,合格,合格,82,B-,未交,合格,B-,未交,未改错,未交,合格,未改错,74,未交,合格,合格,A,未交,合格,B-,不合格,未改错,60,C,不合格,未改错,未交,不合格,合格,C,合格,合格,未交,不合格,合格,87,未交,合格,合格,未交,不合格,合格,B-,不合格,未改错,B-,未交,未改错,75
27,未交,未交,未改错,B-,不合格,合格,C,合格,合格,B-,不合格,合格,77,C,未交,未改错,未交,不合格,合格,B-,合格,合格,未交,不合格,未改错,未交,未交,合格,B-,不合格,未改错,72,未交,未交,合格,C,未交,未改错,B-,未交,未改错,66,C,未交,合格,B-,未交,未改错,B-,合格,未改错,86,C,不合格,未改错,B-,合格,合格,A,合格,未改错,B-,不合格,未改错,73,B-,不合格,未改错,未交,未交,合格,B-,合格,未改错,B-,合格,未改错,92
28,B-,合格,未改错,B-,未交,未改错,未交,合格,合格,C,合格,合格,71,B-,合格,合格,C,未交,合格,未交,不合格,合格,C,未交,合格,未交,不合格,合格,C,合格,合格,67,C,不合格,合格,未交,不合格,合格,B-,未交,合格,93,C,合格,未改错,C,不合格,合格,B-,未交,未改错,78,未交,合格,未改错,C,未交,合格,C,合格,未改错,B-,未交,合格,68,C,不合格,未改错,C,未交,合格,未交,合格,未改错,C,合格,合格,96
29,B-,未交,合格,B-,合格,合格,C,合格,合格,未交,未交,未改错,92,未交,不合格,合格,B-,未交,合格,C,合格,未改错,C,不合格,未改错,C,合格,合格,C,合格,合格,75,未交,合格,合格,未交,未交,合格,C,合格,合格,76,C,不合格,合格,未交,未交,合格,未交,未交,合格,71,C,不合格,未改错,C,未交,未改错,未交,不合格,未改错,C,不合格,未改错,83,B-,未交,合格,C,合格,未改错,C,未交,未改错,未交,未交,合格,88
30,A,优秀,优秀,A+,良好,优秀,A,优秀,良好,A-,良好,优秀,131,A,良好,良好,A,良好,良好,C,良好,优秀,A+,良好,优秀,A+,优秀,良好,A+,良好,优秀,139,A,优秀,优秀,A+,良好,优秀,A,优秀,良好,137,C,良好,优秀,A,优秀,优秀,A,优秀,良好,140,A,优秀,良好,A+,良好,良好,A,优秀,优秀,A-,良好,优秀,138,A+,优秀,优秀,A+,优秀,良好,A,良好,优秀,A-,优秀,优秀,147
31,未交,不合格,合格,B-,合格,合格,C,不合格,合格,C,不合格,未改错,92,未交,未交,合格,C,合格,合格,C,不合格,合格,B-,未交,合格,未交,未交,合格,C,未交,合格,81,未交,不合格,合格,C,不合格,未改错,未交,未交,未改错,90,未交,合格,未改错,C,不合格,合格,未交,不合格,合格,78,B-,未交,合格,B-,未交,未改错,B-,不合格,合格,未交,合格,未改错,66,C,不合格,未改错,B-,合格,合格,C,不合格,合格,未交,合格,未改错,69
32,A-,优秀,良好,A-,良好,优秀,C,优秀,优秀,A+,优秀,良好,130,A,优秀,良好,A-,优秀,优秀,A,良好,良好,A,优秀,优秀,A-,良好,优秀,A-,优秀,优秀,139,A-,优秀,优秀,A+,良好,优秀,A-,良好,优秀,138,A-,优秀,优秀,A-,优秀,良好,A-,良好,良好,146,A+,优秀,良好,A+,良好,优秀,A+,优秀,优秀,C,良好,优秀,135,A-,良好,良好,A-,良好,良好,A+,良好,优秀,A-,优秀,良好,136
33,A+,优秀,优秀,A,良好,良好,A,良好,优秀,A+,优秀,良好,140,A+,优秀,良好,A-,良好,优秀,A,优秀,良好,A-,优秀,良好,A-,良好,优秀,A-,良好,良好,131,A,良好,优秀,A,良好,良好,A,优秀,良好,149,A,优秀,良好,,,,A-,良好,优秀,144,A+,良好,优秀,A,良好,优秀,A+,良好,良好,A,优秀,优秀,143,A,优秀,良好,A,优秀,良好,A,良好,良好,A+,良好,良好,149
34,A+,优秀,良好,A+,良好,优秀,A-,良好,良好,A,优秀,优秀,134,A,优秀,良好,A-,良好,良好,A-,良好,良好,A,良好,优秀,A,良好,良好,A+,优秀,良好,147,A,良好,良好,A+,良好,优秀,A+,优秀,优秀,144,A-,良好,良好,A,优秀,优秀,A,良好,良好,143,A-,优秀,优秀,A+,良好,优秀,A+,优秀,良好,A,优秀,优秀,131,A+,优秀,优秀,A,良好,良好,A+,优秀,优秀,A+,优秀,优秀,138
35,B,合格,合格,B-,合格,良好,A-,合格,合格,B,合格,良好,102,B-,合格,合格,B+,良好,良好,B-,合格,良好,B-,合格,良好,B-,合格,良好,A-,合格,合格,109,B+,良好,合格,B+,良好,合格,B-,良好,合格,129,B-,合格,合格,B,良好,合格,B+,良好,合格,111,B,良好,合格,B+,良好,良好,B,合格,合格,B,合格,合格,108,A-,良好,良好,B+,合格,合格,B-,合格,良好,A-,合格,良好,111
36,A,良好,良好,A-,良好,良好,A,优秀,优秀,A-,优秀,良好,145,A-,优秀,良好,A-,良好,良好,A+,优秀,良好,A,优秀,优秀,A+,良好,良好,A,良好,优秀,145,A,优秀,良好,A+,良好,良好,A,良好,优秀,133,A,优秀,优秀,A+,优秀,优秀,A-,优秀,优秀,141,A,优秀,优秀,A-,优秀,良好,A+,良好,优秀,A+,优秀,良好,138,A+,良好,良好,A,良好,优秀,A,优秀,良好,,,,131
37,A+,优秀,良好,A+,良好,优秀,A,良好,良好,A-,优秀,良好,145,A,良好,良好,A-,良好,良好,A+,良好,优秀,A+,良好,良好,A+,优秀,良好,A,良好,优秀,133,A,良好,优秀,A-,优秀,良好,A+,良好,良好,142,A-,良好,优秀,A+,优秀,优秀,A+,良好,良好,134,A-,优秀,优秀,A-,良好,良好,A-,优秀,优秀,A-,优秀,优秀,142,A+,良好,优秀,A,优秀,优秀,A+,优秀,良好,A,优秀,优秀,130
38,C,合格,未改错,C,未交,合格,C,合格,合格,C,不合格,未改错,96,C,合格,未改错,B-,不合格,未改错,C,未交,未改错,C,不合格,合格,C,不合格,未改错,C,合格,合格,62,B-,合格,未改错,未交,合格,合格,C,合格,未改错,79,A,未交,未改错,C,不合格,未改错,C,合格,未改错,67,B-,未交,合格,,,,B-,未交,合格,B-,未交,合格,80,B-,未交,未改错,未交,未交,合格,未交,合格,合格,B-,合格,未改错,82
39,A,良好,良好,C,优秀,优秀,A,优秀,良好,A,良好,良好,135,A-,良好,良好,A,良好,优秀,A+,良好,优秀,A+,优秀,良好,A+,优秀,优秀,A,良好,良好,148,A-,优秀,优秀,A,良好,良好,A,良好,优秀,141,A+,良好,良好,A,良好,良好,A,良好,良好,135,A+,优秀,优秀,A-,良好,良好,A+,优秀,良好,A,良好,优秀,137,A-,良好,良好,A+,优秀,优秀,A,良好,优秀,A,优秀,优秀,142
40,A+,良好,良好,A+,良好,良好,A-,良好,优秀,A,良好,良好,136,,,,A-,优秀,优秀,A-,优秀,优秀,A,优秀,优秀,A,良好,优秀,A,优秀,优秀,147,A+,良好,良好,A-,良好,良好,A-,良好,优秀,140,C,优秀,良好,C,优秀,优秀,A,良好,良好,147,A+,良好,优秀,,,,A-,良好,良好,A,优秀,良好,137,A-,优秀,优秀,A-,优秀,优秀,A,良好,良好,A+,良好,良好,130
41,B-,未交,合格,未交,不合格,未改错,B-,合格,未改错,未交,不合格,合格,70,B-,未交,未改错,B-,未交,未改错,B-,合格,合格,B-,合格,合格,C,不合格,未改错,,,,78,未交,合格,未改错,A,不合格,未改错,未交,未交,合格,67,未交,不合格,未改错,未交,合格,未改错,未交,未交,未改错,66,C,未交,合格,未交,未交,合格,未交,未交,未改错,C,不合格,未改错,65,B-,不合格,合格,未交,未交,合格,A,合格,未改错,C,不合格,合格,82
42,C,不合格,合格,C,未交,合格,B-,合格,合格,C,不合格,未改错,91,未交,未交,合格,未交,不合格,未改错,B-,未交,未改错,C,不合格,合格,B-,不合格,合格,C,合格,未改错,93,A,不合格,合格,未交,未交,合格,C,不合格,合格,70,C,合格,未改错,B-,未交,未改错,B-,未交,未改错,68,未交,未交,合格,未交,未交,合格,B-,合格,未改错,B-,不合格,未改错,70,C,不合格,合格,C,合格,未改错,未交,不合格,未改错,未交,合格,合格,90
43,A+,优秀,优秀,A+,优秀,良好,A+,良好,良好,A,良好,优秀,133,A+,优秀,良好,A+,优秀,良好,C,良好,优秀,A,优秀,良好,A+,优秀,优秀,A+,良好,良好,145,A+,优秀,优秀,A+,良好,优秀,A+,良好,优秀,139,A,优秀,良好,A+,优秀,优秀,A,良好,优秀,134,A-,优秀,优秀,A,优秀,良好,A+,良好,优秀,A-,优秀,优秀,139,A+,优秀,优秀,A-,良好,良好,A+,优秀,优秀,A-,良好,良好,143
44,A-,合格,合格,B+,良好,合格,B,良好,良好,B+,良好,良好,113,B+,良好,合格,B-,合格,良好,B-,良好,合格,B+,合格,合格,B+,合格,良好,B,良好,合格,105,B,良好,良好,B+,合格,良好,A-,良好,合格,115,B-,良好,良好,B-,合格,合格,A-,合格,良好,122,B,良好,合格,B+,合格,良好,B+,合格,合格,A-,良好,良好,127,B,合格,合格,B,合格,良好,B,合格,合格,B-,合格,合格,107
45,C,未交,合格,B-,未交,合格,未交,不合格,合格,B-,不合格,合格,71,B-,未交,未改错,未交,不合格,合格,C,未交,未改错,B-,不合格,合格,,,,C,合格,未改错,72,B-,不合格,未改错,B-,未交,未改错,C,不合格,合格,88,B-,不合格,未改错,C,未交,合格,未交,合格,合格,67,C,未交,未改错,C,未交,合格,未交,合格,未改错,未交,不合格,合格,60,C,不合格,合格,C,合格,未改错,未交,不合格,合格,C,未交,合格,75
46,B+,合格,合格,B,良好,合格,A-,良好,合格,B-,合格,合格,123,B-,合格,良好,B,良好,合格,B+,合格,合格,B,合格,合格,B+,合格,良好,A-,良好,合格,119,A-,良好,良好,B+,合格,良好,B+,合格,良好,108,A-,合格,良好,B-,合格,合格,B,合格,合格,127,B-,合格,良好,B+,合格,合格,A-,合格,良好,B-,合格,合格,129,B,良好,良好,B,合格,合格,B,合格,良好,A-,合格,合格,102
47,C,不合格,合格,C,未交,合格,A,合格,未改错,C,未交,合格,93,C,不合格,未改错,未交,合格,未改错,C,合格,未改错,B-,不合格,合格,B-,未交,合格,B-,不合格,合格,68,C,合格,未改错,C,未交,合格,B-,合格,未改错,63,B-,合格,合格,未交,合格,合格,B-,不合格,合格,87,B-,未交,未改错,C,不合格,合格,C,不合格,合格,C,未交,合格,94,未交,不合格,合格,C,未交,合格,A,不合格,合格,B-,不合格,合格,99
