学号,章节,具体小节,作业等级,课堂任务单,改错情况,本章单元检测成绩
25,第二章 二次函数,2.4 二次函数与一元二次方程,A-,优秀,未改错,99
25,第二章 二次函数,2.5 二次函数的应用,B-,合格,优秀,99
26,第二章 二次函数,2.1 二次函数,A+,合格,良好,112
26,第二章 二次函数,2.2 二次函数的图象与性质,A,优秀,良好,112
26,第二章 二次函数,2.3 确定二次函数的表达式,,,,112
26,第二章 二次函数,2.4 二次函数与一元二次方程,,优秀,,112
26,第二章 二次函数,2.5 二次函数的应用,A,良好,优秀,112
27,第二章 二次函数,2.1 二次函数,未交,优秀,,86
27,第二章 二次函数,2.2 二次函数的图象与性质,A-,良好,不合格,86
27,第二章 二次函数,2.3 确定二次函数的表达式,未交,优秀,,86
27,第二章 二次函数,2.4 二次函数与一元二次方程,A-,良好,不合格,86
27,第二章 二次函数,2.5 二次函数的应用,B,良好,合格,86
28,第二章 二次函数,2.1 二次函数,A-,优秀,良好,117
28,第二章 二次函数,2.2 二次函数的图象与性质,B,优秀,优秀,117
28,第二章 二次函数,2.3 确定二次函数的表达式,A-,优秀,良好,117
28,第二章 二次函数,2.4 二次函数与一元二次方程,B+,良好,良好,117
28,第二章 二次函数,2.5 二次函数的应用,A-,合格,良好,117
29,第二章 二次函数,2.1 二次函数,A+,不合格,合格,97
29,第二章 二次函数,2.2 二次函数的图象与性质,A+,合格,良好,97
29,第二章 二次函数,2.3 确定二次函数的表达式,A,良好,良好,97
29,第二章 二次函数,2.4 二次函数与一元二次方程,A+,优秀,合格,97
29,第二章 二次函数,2.5 二次函数的应用,A,合格,优秀,97
30,第二章 二次函数,2.1 二次函数,A-,良好,优秀,104
30,第二章 二次函数,2.2 二次函数的图象与性质,A+,合格,优秀,104
30,第二章 二次函数,2.3 确定二次函数的表达式,,,,104
30,第二章 二次函数,2.4 二次函数与一元二次方程,A-,良好,未改错,104
30,第二章 二次函数,2.5 二次函数的应用,B+,合格,不合格,104
31,第二章 二次函数,2.1 二次函数,A,良好,良好,97
31,第二章 二次函数,2.2 二次函数的图象与性质,A-,合格,合格,97
31,第二章 二次函数,2.3 确定二次函数的表达式,B+,良好,优秀,97
31,第二章 二次函数,2.4 二次函数与一元二次方程,B-,良好,合格,97
31,第二章 二次函数,2.5 二次函数的应用,A-,良好,良好,97
32,第二章 二次函数,2.1 二次函数,A+,合格,合格,147
32,第二章 二次函数,2.2 二次函数的图象与性质,B,良好,合格,147
32,第二章 二次函数,2.3 确定二次函数的表达式,A+,合格,良好,147
32,第二章 二次函数,2.4 二次函数与一元二次方程,A-,良好,优秀,147
32,第二章 二次函数,2.5 二次函数的应用,B,良好,优秀,147
33,第二章 二次函数,2.1 二次函数,B,良好,良好,109
33,第二章 二次函数,2.2 二次函数的图象与性质,B+,不合格,良好,109
33,第二章 二次函数,2.3 确定二次函数的表达式,B+,良好,良好,109
33,第二章 二次函数,2.4 二次函数与一元二次方程,A,不合格,未改错,109
33,第二章 二次函数,2.5 二次函数的应用,,,,109
34,第二章 二次函数,2.1 二次函数,A-,优秀,合格,88
34,第二章 二次函数,2.2 二次函数的图象与性质,B+,优秀,良好,88
34,第二章 二次函数,2.3 确定二次函数的表达式,B,良好,合格,88
34,第二章 二次函数,2.4 二次函数与一元二次方程,A-,良好,不合格,88
34,第二章 二次函数,2.5 二次函数的应用,B,良好,优秀,88
35,第二章 二次函数,2.1 二次函数,A,良好,不合格,126
35,第二章 二次函数,2.2 二次函数的图象与性质,未交,优秀,,126
35,第二章 二次函数,2.3 确定二次函数的表达式,B+,合格,优秀,126
35,第二章 二次函数,2.4 二次函数与一元二次方程,A-,优秀,优秀,126
35,第二章 二次函数,2.5 二次函数的应用,,,,126
36,第二章 二次函数,2.1 二次函数,,,,85
36,第二章 二次函数,2.2 二次函数的图象与性质,A,良好,合格,85
36,第二章 二次函数,2.3 确定二次函数的表达式,A+,良好,良好,85
36,第二章 二次函数,2.4 二次函数与一元二次方程,C,优秀,优秀,85
36,第二章 二次函数,2.5 二次函数的应用,B+,良好,优秀,85
37,第二章 二次函数,2.1 二次函数,B+,合格,优秀,114
37,第二章 二次函数,2.2 二次函数的图象与性质,A+,不合格,良好,114
37,第二章 二次函数,2.3 确定二次函数的表达式,A-,合格,合格,114
37,第二章 二次函数,2.4 二次函数与一元二次方程,B,良好,不合格,114
37,第二章 二次函数,2.5 二次函数的应用,B+,优秀,合格,114
38,第二章 二次函数,2.1 二次函数,未交,良好,,70
38,第二章 二次函数,2.2 二次函数的图象与性质,未交,优秀,,70
38,第二章 二次函数,2.3 确定二次函数的表达式,B,良好,不合格,70
38,第二章 二次函数,2.4 二次函数与一元二次方程,B+,良好,良好,70
38,第二章 二次函数,2.5 二次函数的应用,B+,良好,良好,70
39,第二章 二次函数,2.1 二次函数,A-,良好,良好,83
39,第二章 二次函数,2.2 二次函数的图象与性质,A-,优秀,合格,83
39,第二章 二次函数,2.3 确定二次函数的表达式,B,良好,良好,83
39,第二章 二次函数,2.4 二次函数与一元二次方程,B-,良好,合格,83
39,第二章 二次函数,2.5 二次函数的应用,A+,良好,良好,83
40,第二章 二次函数,2.1 二次函数,未交,良好,,113
40,第二章 二次函数,2.2 二次函数的图象与性质,A-,良好,良好,113
40,第二章 二次函数,2.3 确定二次函数的表达式,A-,合格,优秀,113
40,第二章 二次函数,2.4 二次函数与一元二次方程,A-,不合格,合格,113
40,第二章 二次函数,2.5 二次函数的应用,A,良好,良好,113
41,第二章 二次函数,2.1 二次函数,,,,124
41,第二章 二次函数,2.2 二次函数的图象与性质,A-,良好,合格,124
41,第二章 二次函数,2.3 确定二次函数的表达式,B-,良好,未改错,124
41,第二章 二次函数,2.4 二次函数与一元二次方程,A-,优秀,合格,124
41,第二章 二次函数,2.5 二次函数的应用,A,良好,良好,124
42,第二章 二次函数,2.1 二次函数,A-,良好,优秀,113
42,第二章 二次函数,2.2 二次函数的图象与性质,B+,良好,未改错,113
42,第二章 二次函数,2.3 确定二次函数的表达式,B-,优秀,良好,113
42,第二章 二次函数,2.4 二次函数与一元二次方程,A-,合格,良好,113
42,第二章 二次函数,2.5 二次函数的应用,A-,优秀,良好,113
43,第二章 二次函数,2.1 二次函数,A+,不合格,良好,107
43,第二章 二次函数,2.2 二次函数的图象与性质,A-,良好,优秀,107
43,第二章 二次函数,2.3 确定二次函数的表达式,A-,良好,合格,107
43,第二章 二次函数,2.4 二次函数与一元二次方程,B,良好,合格,107
43,第二章 二次函数,2.5 二次函数的应用,未交,合格,,107
44,第二章 二次函数,2.1 二次函数,B+,良好,合格,103
44,第二章 二次函数,2.2 二次函数的图象与性质,A,良好,未改错,103
44,第二章 二次函数,2.3 确定二次函数的表达式,B+,良好,合格,103
44,第二章 二次函数,2.4 二次函数与一元二次方程,A,良好,合格,103
44,第二章 二次函数,2.5 二次函数的应用,A-,合格,合格,103
45,第二章 二次函数,2.1 二次函数,A,不合格,良好,80
45,第二章 二次函数,2.2 二次函数的图象与性质,B-,合格,良好,80
45,第二章 二次函数,2.3 确定二次函数的表达式,B-,合格,良好,80
45,第二章 二次函数,2.4 二次函数与一元二次方程,A-,优秀,良好,80
45,第二章 二次函数,2.5 二次函数的应用,未交,良好,,80
46,第二章 二次函数,2.1 二次函数,B+,优秀,良好,95
46,第二章 二次函数,2.2 二次函数的图象与性质,A,不合格,未改错,95
46,第二章 二次函数,2.3 确定二次函数的表达式,B+,不合格,合格,95
46,第二章 二次函数,2.4 二次函数与一元二次方程,,良好,不合格,95
46,第二章 二次函数,2.5 二次函数的应用,A+,不合格,良好,95
47,第二章 二次函数,2.1 二次函数,A,优秀,优秀,100
47,第二章 二次函数,2.2 二次函数的图象与性质,A-,合格,优秀,100
47,第二章 二次函数,2.3 确定二次函数的表达式,B+,优秀,优秀,100
47,第二章 二次函数,2.4 二次函数与一元二次方程,,,,100
47,第二章 二次函数,2.5 二次函数的应用,A+,优秀,良好,100
48,第二章 二次函数,2.1 二次函数,B-,良好,合格,131
48,第二章 二次函数,2.2 二次函数的图象与性质,A-,良好,良好,131
48,第二章 二次函数,2.3 确定二次函数的表达式,未交,优秀,,131
48,第二章 二次函数,2.4 二次函数与一元二次方程,A-,良好,良好,131
48,第二章 二次函数,2.5 二次函数的应用,A-,优秀,良好,131
49,第二章 二次函数,2.1 二次函数,B,合格,良好,116
49,第二章 二次函数,2.2 二次函数的图象与性质,A+,不合格,未改错,116
49,第二章 二次函数,2.3 确定二次函数的表达式,B+,不合格,合格,116
49,第二章 二次函数,2.4 二次函数与一元二次方程,A-,良好,合格,116
49,第二章 二次函数,2.5 二次函数的应用,,,,116
50,第二章 二次函数,2.1 二次函数,A-,良好,合格,74
50,第二章 二次函数,2.2 二次函数的图象与性质,A+,合格,未改错,74
50,第二章 二次函数,2.3 确定二次函数的表达式,,,,74
50,第二章 二次函数,2.4 二次函数与一元二次方程,A,优秀,合格,74
50,第二章 二次函数,2.5 二次函数的应用,A,良好,合格,74
