学号,1.1 等腰三角形_作业等级,1.1 等腰三角形_课堂任务单,1.1 等腰三角形_改错情况,1.2 直角三角形_作业等级,1.2 直角三角形_课堂任务单,1.2 直角三角形_改错情况,1.3 线段的垂直平分线_作业等级,1.3 线段的垂直平分线_课堂任务单,1.3 线段的垂直平分线_改错情况,1.4 角平分线_作业等级,1.4 角平分线_课堂任务单,1.4 角平分线_改错情况,第一章 三角形的证明_单元检测成绩,2.1 不等关系_作业等级,2.1 不等关系_课堂任务单,2.1 不等关系_改错情况,2.2 不等式的基本性质_作业等级,2.2 不等式的基本性质_课堂任务单,2.2 不等式的基本性质_改错情况,2.3 不等式的解集_作业等级,2.3 不等式的解集_课堂任务单,2.3 不等式的解集_改错情况,2.4 一元一次不等式_作业等级,2.4 一元一次不等式_课堂任务单,2.4 一元一次不等式_改错情况,2.5 一元一次不等式与一次函数_作业等级,2.5 一元一次不等式与一次函数_课堂任务单,2.5 一元一次不等式与一次函数_改错情况,2.6 一元一次不等式组_作业等级,2.6 一元一次不等式组_课堂任务单,2.6 一元一次不等式组_改错情况,第二章 一元一次不等式与一元一次不等式组_单元检测成绩,3.1 图形的平移_作业等级,3.1 图形的平移_课堂任务单,3.1 图形的平移_改错情况,3.2 图形的旋转_作业等级,3.2 图形的旋转_课堂任务单,3.2 图形的旋转_改错情况,3.3 中心对称_作业等级,3.3 中心对称_课堂任务单,3.3 中心对称_改错情况,第三章 图形的平移与旋转_单元检测成绩,4.1 因式分解_作业等级,4.1 因式分解_课堂任务单,4.1 因式分解_改错情况,4.2 提公因式法_作业等级,4.2 提公因式法_课堂任务单,4.2 提公因式法_改错情况,4.3 公式法_作业等级,4.3 公式法_课堂任务单,4.3 公式法_改错情况,第四章 因式分解_单元检测成绩,5.1 认识分式_作业等级,5.1 认识分式_课堂任务单,5.1 认识分式_改错情况,5.2 分式的乘除法_作业等级,5.2 分式的乘除法_课堂任务单,5.2 分式的乘除法_改错情况,5.3 分式的加减法_作业等级,5.3 分式的加减法_课堂任务单,5.3 分式的加减法_改错情况,5.4 分式方程_作业等级,5.4 分式方程_课堂任务单,5.4 分式方程_改错情况,第五章 分式与分式方程_单元检测成绩,6.1 平行四边形的性质_作业等级,6.1 平行四边形的性质_课堂任务单,6.1 平行四边形的性质_改错情况,6.2 平行四边形的判定_作业等级,6.2 平行四边形的判定_课堂任务单,6.2 平行四边形的判定_改错情况,6.3 三角形的中位线_作业等级,6.3 三角形的中位线_课堂任务单,6.3 三角形的中位线_改错情况,6.4 多边形的内角和与外角和_作业等级,6.4 多边形的内角和与外角和_课堂任务单,6.4 多边形的内角和与外角和_改错情况,第六章 平行四边形_单元检测成绩
11,A-,良好,良好,B-,良好,良好,B,良好,良好,B-,良好,合格,115,B-,合格,良好,,,,B+,良好,良好,B,良好,合格,A-,良好,良好,A-,良好,合格,124,B-,良好,良好,A-,良好,合格,B,合格,合格,110,B+,良好,合格,A-,良好,良好,B+,合格,良好,121,A-,良好,合格,B,良好,良好,B+,良好,良好,B,良好,合格,113,B+,良好,合格,B-,合格,良好,,,,B+,合格,合格,116
12,A-,优秀,优秀,A+,良好,优秀,A,优秀,良好,C,良好,良好,149,A,优秀,良好,A+,良好,良好,C,良好,优秀,A-,优秀,优秀,A-,良好,优秀,A+,良好,良好,134,A,良好,优秀,A-,良好,良好,A+,优秀,优秀,143,A,良好,优秀,A,良好,优秀,A,优秀,优秀,137,A,良好,优秀,A-,良好,优秀,A+,良好,优秀,A+,良好,良好,150,A,优秀,优秀,C,良好,优秀,,,,A+,良好,优秀,146
13,C,合格,合格,未交,不合格,合格,B-,未交,未改错,未交,合格,合格,60,未交,合格,合格,A,合格,合格,B-,不合格,未改错,B-,不合格,未改错,B-,未交,未改错,C,不合格,未改错,60,未交,不合格,合格,C,未交,合格,B-,不合格,未改错,63,A,合格,合格,C,合格,合格,C,合格,未改错,72,未交,未交,未改错,未交,未交,合格,C,合格,合格,未交,合格,合格,73,B-,不合格,未改错,未交,不合格,未改错,C,不合格,合格,B-,未交,合格,87
14,A-,良好,良好,A+,良好,优秀,C,优秀,优秀,A-,良好,良好,145,A-,良好,良好,A+,良好,优秀,A,优秀,良好,A-,优秀,良好,A,优秀,良好,A+,良好,良好,149,A-,良好,良好,A+,优秀,优秀,A-,良好,良好,133,A,优秀,良好,A+,良好,优秀,A+,良好,优秀,131,A,优秀,优秀,A-,良好,良好,A,优秀,优秀,A+,优秀,良好,150,A-,优秀,优秀,A,优秀,优秀,A,良好,优秀,C,优秀,良好,135
15,A,良好,良好,A+,良好,良好,A,优秀,良好,A+,优秀,优秀,140,A,优秀,良好,A,良好,良好,A-,优秀,良好,A+,良好,优秀,A,优秀,优秀,C,良好,良好,132,A+,良好,良好,A+,优秀,良好,A+,优秀,良好,132,A-,优秀,优秀,A+,优秀,良好,A,优秀,良好,145,A+,优秀,优秀,A,良好,良好,C,良好,优秀,A+,良好,优秀,136,A+,优秀,优秀,A+,良好,优秀,A+,良好,优秀,A-,优秀,良好,146
16,未交,合格,合格,B-,合格,未改错,,,,B-,不合格,未改错,60,B-,合格,合格,C,未交,合格,B-,不合格,未改错,,,,C,合格,未改错,B-,不合格,未改错,77,未交,合格,合格,,,,C,未交,合格,70,B-,合格,未改错,未交,合格,未改错,B-,未交,合格,60,B-,未交,合格,未交,不合格,合格,未交,不合格,未改错,B-,未交,合格,71,未交,合格,未改错,未交,合格,未改错,C,合格,未改错,未交,未交,合格,95
17,A,良好,优秀,A+,良好,良好,A,良好,优秀,A,良好,优秀,139,A-,优秀,优秀,A,良好,良好,A,优秀,优秀,A+,良好,良好,C,良好,优秀,A+,良好,良好,132,A,优秀,良好,A-,优秀,良好,A-,良好,良好,144,A,良好,良好,A-,优秀,优秀,A,良好,良好,130,A,优秀,良好,C,优秀,良好,A-,良好,良好,A-,优秀,优秀,147,A+,良好,良好,A-,优秀,良好,A,优秀,优秀,C,良好,优秀,139
18,B-,合格,良好,,,,B,良好,合格,,,,112,A-,合格,合格,B+,合格,合格,B+,良好,良好,B+,良好,合格,B-,良好,良好,A-,良好,良好,100,B-,合格,良好,B+,合格,合格,B+,良好,良好,116,A-,合格,合格,B+,合格,合格,B+,良好,合格,129,B-,良好,合格,A-,良好,合格,A-,良好,合格,B,合格,良好,106,B,良好,合格,B,合格,良好,B+,良好,良好,A-,良好,合格,122
19,C,未交,未改错,B-,不合格,合格,未交,未交,未改错,C,不合格,未改错,80,未交,不合格,未改错,B-,未交,未改错,B-,不合格,合格,,,,B-,不合格,合格,C,未交,合格,65,B-,不合格,未改错,C,未交,未改错,未交,不合格,合格,83,C,不合格,合格,B-,合格,未改错,C,不合格,未改错,89,B-,合格,未改错,C,未交,未改错,C,不合格,未改错,C,合格,合格,65,C,未交,合格,未交,未交,未改错,未交,未交,合格,未交,未交,未改错,61
20,未交,合格,合格,C,合格,未改错,B-,未交,合格,未交,合格,未改错,96,未交,不合格,未改错,B-,合格,合格,B-,不合格,合格,未交,合格,合格,B-,合格,未改错,未交,不合格,未改错,91,未交,未交,未改错,未交,不合格,合格,B-,未交,合格,77,未交,未交,合格,C,不合格,未改错,B-,不合格,合格,72,C,合格,合格,A,未交,未改错,B-,未交,合格,C,合格,未改错,63,未交,未交,未改错,未交,合格,未改错,C,合格,合格,未交,不合格,未改错,91
21,A+,良好,良好,A,良好,良好,A,优秀,良好,A,优秀,优秀,147,A,优秀,良好,A+,良好,优秀,A-,优秀,良好,A-,良好,优秀,A-,良好,优秀,A-,良好,良好,143,A,良好,良好,A,优秀,良好,A,优秀,良好,146,A+,优秀,优秀,A+,良好,优秀,A+,良好,优秀,144,A+,优秀,优秀,A+,良好,良好,A-,优秀,良好,C,优秀,优秀,137,A+,优秀,优秀,A,优秀,优秀,A,良好,良好,A+,良好,良好,141
22,B+,合格,合格,B-,良好,良好,B-,良好,合格,B-,良好,合格,125,A-,合格,良好,B-,良好,良好,B,良好,合格,A-,良好,良好,B,良好,合格,B,良好,合格,112,,,,A-,合格,合格,B-,合格,良好,115,B,良好,合格,B+,合格,合格,B-,良好,合格,108,A-,良好,良好,A-,良好,合格,A-,合格,良好,B+,良好,合格,106,B+,合格,合格,B+,合格,合格,B,合格,合格,B-,合格,良好,114
23,C,不合格,未改错,B-,合格,合格,B-,未交,合格,B-,不合格,未改错,62,B-,不合格,未改错,B-,不合格,未改错,未交,未交,合格,C,合格,合格,C,不合格,未改错,C,合格,合格,62,B-,合格,合格,C,未交,合格,B-,合格,未改错,95,未交,合格,合格,C,合格,未改错,B-,未交,合格,77,未交,不合格,合格,未交,合格,合格,未交,不合格,未改错,C,不合格,未改错,88,C,不合格,未改错,B-,合格,合格,C,未交,未改错,未交,未交,未改错,77
24,B-,合格,良好,B+,良好,良好,B,合格,良好,B,良好,良好,113,B,良好,良好,B,良好,良好,B-,良好,合格,B,合格,良好,B+,良好,合格,B,合格,良好,111,B,合格,合格,B+,良好,良好,B-,良好,良好,128,B+,合格,良好,B+,良好,良好,B+,合格,良好,129,B+,良好,合格,B,良好,合格,B+,合格,良好,B,良好,良好,116,B,合格,良好,B-,良好,良好,B-,良好,合格,B+,合格,合格,105
25,B-,不合格,合格,C,未交,合格,C,不合格,未改错,C,未交,未改错,63,未交,不合格,未改错,未交,合格,未改错,未交,未交,未改错,未交,合格,未改错,B-,不合格,未改错,C,未交,未改错,71,C,合格,合格,B-,不合格,未改错,C,合格,合格,94,未交,不合格,未改错,未交,未交,未改错,B-,未交,未改错,98,B-,不合格,未改错,C,合格,未改错,C,不合格,合格,C,合格,合格,95,未交,不合格,未改错,B-,不合格,合格,B-,未交,合格,未交,不合格,合格,79
26,C,不合格,未改错,未交,未交,合格,B-,不合格,合格,未交,合格,合格,77,B-,未交,未改错,B-,不合格,未改错,C,合格,未改错,C,未交,合格,,,,B-,不合格,未改错,85,C,未交,未改错,C,合格,合格,未交,未交,合格,71,未交,未交,合格,B-,合格,合格,C,未交,合格,80,未交,未交,合格,B-,不合格,未改错,C,未交,合格,C,不合格,未改错,69,B-,不合格,未改错,未交,不合格,合格,C,不合格,未改错,未交,合格,未改错,84
27,A,良好,优秀,A+,优秀,良好,A,优秀,良好,A+,良好,良好,130,C,良好,良好,A-,良好,优秀,A-,良好,优秀,A-,良好,优秀,A+,良好,优秀,A+,良好,优秀,140,A,良好,优秀,C,优秀,良好,A+,优秀,良好,133,A-,优秀,良好,A,优秀,优秀,A-,良好,优秀,130,A+,优秀,良好,A,良好,优秀,A+,优秀,优秀,A-,良好,良好,144,A-,优秀,良好,A,良好,良好,A,优秀,优秀,A+,良好,优秀,147
28,A-,合格,合格,A-,良好,良好,B,良好,合格,B-,合格,良好,125,B-,良好,良好,B,良好,合格,B,良好,良好,B-,良好,合格,B+,合格,良好,B-,合格,合格,100,B+,良好,合格,B,良好,合格,B+,合格,良好,110,B-,合格,合格,B+,良好,合格,B,良好,合格,110,B+,良好,合格,B-,良好,良好,B,良好,合格,B+,良好,合格,106,B+,合格,良好,A-,合格,合格,B+,合格,合格,B-,合格,合格,105
29,B+,合格,良好,B-,良好,良好,A-,合格,良好,B+,良好,良好,129,B,合格,合格,B,良好,良好,B+,良好,合格,B+,良好,良好,B-,合格,良好,B,良好,合格,116,A-,良好,合格,B-,合格,良好,B,合格,合格,113,B,合格,良好,B,良好,良好,A-,合格,合格,101,B,良好,良好,B,良好,良好,B+,合格,良好,B-,合格,良好,123,B-,合格,良好,B,良好,良好,B+,合格,合格,B+,合格,良好,121
30,B-,良好,良好,B,合格,良好,B+,良好,良好,B-,合格,合格,102,B-,良好,合格,B,良好,合格,A-,合格,合格,A-,合格,良好,A-,良好,合格,,,,107,B-,良好,合格,B-,良好,合格,B-,合格,合格,126,B+,合格,合格,B-,合格,合格,B-,良好,良好,120,B+,合格,良好,A-,良好,合格,B,良好,良好,B+,合格,合格,107,B,良好,合格,B-,良好,合格,A-,合格,合格,A-,良好,良好,119
31,B,合格,合格,A-,合格,良好,B-,良好,合格,B-,合格,良好,104,B,合格,良好,B-,良好,合格,A-,良好,合格,B-,良好,良好,A-,良好,合格,A-,良好,良好,120,A-,良好,合格,A-,合格,合格,A-,良好,合格,104,B-,良好,良好,A-,良好,合格,B,合格,良好,117,B-,合格,良好,B-,良好,良好,B-,良好,良好,A-,良好,合格,103,B-,合格,良好,B+,合格,良好,A-,合格,良好,A-,合格,合格,117
32,B-,未交,未改错,未交,未交,合格,B-,未交,未改错,,,,91,C,不合格,合格,B-,未交,未改错,C,未交,合格,B-,未交,合格,B-,未交,未改错,C,合格,合格,75,C,未交,合格,未交,未交,未改错,C,未交,未改错,70,C,不合格,合格,B-,未交,合格,C,未交,合格,66,未交,不合格,未改错,B-,不合格,未改错,C,合格,合格,B-,未交,未改错,65,B-,不合格,合格,B-,合格,合格,B-,合格,未改错,C,合格,未改错,78
33,未交,不合格,未改错,B-,未交,合格,B-,未交,合格,B-,未交,未改错,65,B-,合格,未改错,B-,不合格,合格,B-,不合格,合格,B-,未交,未改错,C,合格,未改错,C,未交,合格,86,未交,未交,合格,B-,不合格,合格,C,未交,未改错,76,未交,合格,合格,B-,合格,合格,B-,未交,未改错,61,未交,合格,未改错,B-,不合格,合格,C,未交,合格,未交,合格,未改错,86,B-,不合格,未改错,C,合格,未改错,B-,不合格,合格,C,合格,未改错,98
34,B-,不合格,未改错,C,未交,合格,B-,合格,合格,C,合格,合格,64,C,不合格,合格,B-,不合格,合格,C,不合格,未改错,B-,合格,合格,C,未交,未改错,C,未交,合格,91,B-,合格,合格,C,不合格,合格,C,不合格,未改错,65,未交,不合格,未改错,未交,不合格,未改错,C,合格,未改错,92,未交,合格,未改错,B-,未交,合格,未交,合格,未改错,A,未交,合格,96,B-,不合格,合格,B-,合格,合格,B-,合格,未改错,C,合格,合格,69
35,A-,良好,优秀,A+,优秀,良好,A,优秀,良好,A+,良好,优秀,136,A,良好,良好,A-,优秀,良好,A-,良好,优秀,C,优秀,优秀,A+,优秀,优秀,A,良好,优秀,148,A,良好,优秀,A,优秀,优秀,A-,优秀,良好,140,C,优秀,良好,A-,良好,良好,A,优秀,良好,144,A-,优秀,良好,A+,优秀,优秀,A,良好,良好,A-,良好,良好,135,A+,良好,良好,A+,良好,良好,A,优秀,良好,A,良好,优秀,147
36,A-,合格,良好,A-,良好,合格,B-,良好,良好,B-,合格,良好,122,A-,良好,合格,A-,合格,良好,B+,合格,合格,A-,良好,良好,B-,合格,良好,B,良好,合格,118,B-,良好,良好,B+,良好,良好,,,,125,B+,合格,合格,B,良好,良好,B-,良好,合格,110,B-,合格,合格,B+,良好,合格,A-,合格,合格,B-,合格,合格,117,B-,合格,良好,B+,良好,良好,A-,良好,良好,B,良好,良好,102
37,B+,合格,良好,B-,良好,良好,B-,合格,良好,B,良好,良好,102,A-,合格,良好,A-,良好,合格,A-,良好,良好,A-,良好,良好,A-,合格,合格,A-,合格,合格,102,B+,合格,合格,B+,良好,合格,A-,良好,良好,124,B-,良好,合格,B,合格,良好,B,合格,良好,116,B,良好,良好,B+,合格,良好,A-,良好,良好,B-,合格,良好,108,B+,合格,合格,A-,合格,合格,B+,合格,合格,B+,合格,良好,106
38,B,合格,合格,B+,良好,良好,B,合格,合格,B-,良好,合格,102,B+,良好,良好,A-,合格,良好,A-,合格,良好,B+,合格,合格,A-,良好,良好,A-,良好,良好,118,B,合格,良好,,,,B,合格,良好,100,B-,良好,良好,B+,良好,合格,B+,良好,合格,115,B+,良好,良好,B-,合格,良好,B,良好,良好,B+,合格,良好,124,B,良好,合格,B,良好,合格,B+,合格,合格,B-,合格,合格,124
39,A+,良好,良好,A-,优秀,优秀,A-,良好,优秀,A-,优秀,优秀,145,A,良好,良好,,,,C,优秀,良好,A,优秀,良好,A-,优秀,良好,C,优秀,优秀,137,A-,良好,优秀,A-,良好,优秀,A-,优秀,良好,135,A-,优秀,优秀,A+,优秀,优秀,A+,良好,良好,144,A,优秀,优秀,A,良好,优秀,A+,良好,优秀,,,,141,A+,优秀,良好,A+,良好,优秀,A,良好,优秀,A+,良好,优秀,137
40,B-,合格,良好,B-,良好,合格,A-,良好,合格,B+,合格,良好,102,B+,良好,良好,B,良好,良好,B-,合格,合格,B-,合格,合格,B-,合格,良好,B-,合格,良好,107,B,良好,合格,A-,合格,合格,B-,良好,合格,129,B+,合格,合格,A-,良好,良好,B+,合格,合格,117,B-,良好,合格,A-,合格,良好,B-,合格,合格,A-,良好,合格,114,B,良好,合格,B+,良好,良好,B+,良好,合格,B,合格,合格,103
41,B-,未交,未改错,C,合格,未改错,C,合格,合格,未交,合格,未改错,66,C,合格,未改错,C,不合格,合格,C,未交,未改错,B-,不合格,未改错,未交,合格,合格,未交,未交,合格,77,B-,合格,合格,C,不合格,合格,未交,未交,合格,99,C,不合格,未改错,未交,合格,未改错,C,未交,未改错,83,未交,未交,合格,C,合格,未改错,未交,不合格,合格,未交,未交,合格,82,C,合格,未改错,C,不合格,合格,C,不合格,未改错,C,未交,合格,93
42,B,合格,良好,B+,良好,合格,B+,良好,合格,B,合格,合格,124,B-,良好,良好,B,良好,合格,B,良好,合格,B,良好,良好,B+,良好,良好,B+,合格,良好,128,A-,合格,良好,B,合格,良好,B+,良好,良好,128,B+,合格,良好,B+,合格,合格,B+,合格,合格,107,A-,合格,良好,B+,良好,良好,B+,良好,合格,B-,合格,良好,123,B-,合格,合格,A-,良好,合格,A-,良好,良好,B-,合格,合格,100
43,A-,良好,合格,A-,良好,合格,B+,良好,良好,A-,合格,合格,118,B-,良好,合格,B,合格,良好,B-,合格,良好,B,合格,良好,B+,良好,良好,B-,合格,良好,103,B-,良好,良好,B,良好,合格,B-,合格,合格,110,A-,合格,良好,A-,合格,合格,B-,合格,良好,100,B-,合格,合格,B,良好,合格,B-,合格,良好,B,合格,合格,109,B,合格,良好,B+,合格,良好,B+,合格,合格,B,良好,合格,123
44,B-,不合格,未改错,B-,不合格,合格,B-,合格,未改错,B-,未交,合格,94,C,未交,未改错,B-,未交,未改错,C,未交,未改错,未交,不合格,合格,C,合格,合格,C,合格,合格,63,C,不合格,未改错,C,不合格,合格,C,不合格,合格,77,B-,未交,未改错,A,未交,合格,未交,未交,合格,78,未交,未交,合格,B-,合格,合格,C,不合格,合格,B-,不合格,合格,80,未交,未交,未改错,未交,未交,未改错,B-,不合格,合格,B-,合格,合格,96
45,B+,良好,良好,B+,良好,良好,A-,良好,合格,A-,合格,合格,112,B+,合格,良好,B-,良好,合格,B+,良好,良好,B-,良好,合格,B,良好,合格,B,合格,良好,129,B+,合格,良好,B+,良好,合格,B+,合格,良好,122,B,合格,良好,B+,良好,合格,,,,115,A-,合格,良好,B+,良好,良好,B-,合格,合格,B-,合格,良好,103,B-,良好,合格,B-,合格,合格,A-,合格,良好,B+,良好,合格,110
46,C,不合格,未改错,未交,合格,未改错,B-,合格,合格,未交,不合格,未改错,83,B-,未交,合格,C,未交,未改错,未交,未交,未改错,C,未交,合格,B-,未交,未改错,B-,合格,未改错,82,未交,不合格,未改错,未交,未交,未改错,C,不合格,未改错,79,未交,不合格,合格,未交,不合格,未改错,C,合格,未改错,60,未交,合格,合格,B-,不合格,未改错,B-,不合格,未改错,B-,未交,未改错,99,C,合格,未改错,C,未交,未改错,未交,不合格,合格,B-,不合格,合格,87
47,B,良好,良好,A-,合格,合格,B-,合格,合格,B+,合格,良好,126,B,良好,良好,B+,合格,合格,B-,良好,良好,A-,合格,良好,B+,合格,良好,B+,合格,良好,113,B,良好,良好,B+,合格,合格,B,良好,合格,118,B+,合格,良好,A-,良好,合格,B,合格,合格,102,A-,良好,合格,B+,良好,合格,B-,合格,合格,B,良好,良好,126,B+,合格,合格,B+,良好,合格,B,良好,合格,A-,合格,良好,110
48,A-,合格,良好,B-,良好,良好,A-,良好,良好,B+,良好,良好,119,B,合格,良好,B-,合格,合格,A-,合格,合格,B+,良好,良好,A-,合格,合格,B+,良好,良好,114,B+,合格,合格,B+,良好,良好,B+,良好,良好,128,B,良好,合格,A-,合格,合格,A-,合格,合格,112,A-,合格,合格,B-,良好,合格,B-,合格,合格,B,良好,良好,102,B,合格,合格,B-,合格,合格,B+,良好,合格,A-,良好,良好,126
